,cost,feasible,status,costs,actions,upperbound,lowerbound,gap,iterations,nodes_processed,nodes_remaining,runtime,total_cost
17,0.12476428648089599,True,integer optimal solution,"[ 0.      0.      0.      0.1157  0.1248 -0.     -0.      0.0188  0.1197
 -0.      0.      0.063  -0.      0.1057  0.      0.      0.      0.
  0.      0.0553  0.      0.      0.     -0.     -0.      0.    ]","[ 0.000e+00  0.000e+00  0.000e+00 -6.000e+00 -3.264e+03  0.000e+00
 -0.000e+00 -1.000e+00  1.000e+00 -0.000e+00  0.000e+00  1.000e+00
 -0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00 -0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 -0.000e+00  0.000e+00]",0.12506753692262185,0.12506753692262185,0.0,82,0,0,0.0625,0.6028707520328849
18,0.10566663382503763,True,integer optimal solution,"[ 0.      0.      0.      0.      0.0419  0.      0.      0.     -0.
  0.      0.      0.063  -0.      0.1057  0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.      0.      0.    ]","[ 0.000e+00  0.000e+00  0.000e+00  0.000e+00 -4.045e+03  0.000e+00
 -0.000e+00  0.000e+00 -0.000e+00  0.000e+00  0.000e+00  1.000e+00
 -0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  0.000e+00]",0.10568516872310829,0.10568516872310829,0.0,49,0,0,0.0625,0.26593935368151167
27,0.04866665607945386,True,integer optimal solution,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.0487 0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.    ]","[ 0.  0.  0.  0. -0.  0.  0. -0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.]",0.048720419392428986,0.048720419392428986,0.0,28,0,0,0.0,0.04866665607945386
29,0.030396116931251438,True,integer optimal solution,"[ 0.      0.      0.      0.0304  0.0192  0.      0.     -0.     -0.
  0.      0.     -0.     -0.     -0.     -0.      0.      0.      0.
  0.     -0.      0.      0.      0.      0.      0.      0.    ]","[   0.    0.    0.  -12. -510.    0.    0.    0.   -0.    0.    0.   -0.
   -0.   -0.   -0.    0.    0.    0.    0.   -0.    0.    0.    0.    0.
    0.    0.]",0.03040456564430216,0.03040456564430216,0.0,48,0,0,0.0625,0.04961848657242229
31,0.03653924515981899,True,integer optimal solution,"[ 0.      0.      0.      0.0365  0.     -0.     -0.      0.     -0.
 -0.      0.     -0.     -0.     -0.      0.      0.      0.      0.
  0.     -0.      0.      0.      0.      0.     -0.      0.    ]","[ 0.  0.  0. -1.  0.  0. -0.  0. -0. -0.  0. -0. -0. -0.  0.  0.  0.  0.
  0. -0.  0.  0.  0.  0. -0.  0.]",0.03657817321389955,0.03657817321389955,0.0,33,0,0,0.0,0.036539245159820544
34,0.1056666338250376,True,integer optimal solution,"[ 0.      0.      0.      0.      0.      0.      0.      0.     -0.
  0.      0.      0.     -0.      0.1057  0.      0.      0.     -0.
  0.      0.0553  0.      0.      0.     -0.     -0.      0.    ]","[ 0.  0.  0.  0.  0.  0. -0.  0. -0.  0.  0.  0. -0.  1.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0. -0.  0.]",0.10667653101403445,0.10667653101403445,0.0,37,0,0,0.0625,0.16099995436787085
35,0.10566663382503763,True,integer optimal solution,"[ 0.      0.      0.      0.0439  0.0132  0.      0.     -0.     -0.
 -0.      0.      0.063  -0.      0.1057  0.      0.      0.      0.
  0.      0.0553  0.      0.      0.     -0.     -0.      0.    ]","[   0.    0.    0.   -8. -214.    0.   -0.    0.   -0.   -0.    0.    1.
   -0.    1.    0.    0.    0.    0.    0.    1.    0.    0.    0.    0.
   -0.    0.]",0.10585365606600862,0.10585365606600862,0.0,59,0,0,0.0,0.28105050356069894
36,0.05533332054283324,True,integer optimal solution,"[ 0.      0.      0.      0.043   0.      0.     -0.      0.     -0.
  0.      0.     -0.     -0.     -0.      0.      0.      0.     -0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[ 0.  0.  0. -8.  0.  0. -0.  0. -0.  0.  0. -0. -0. -0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0. -0.  0.]",0.05540724224155594,0.05540724224155594,0.0,38,0,0,0.0625,0.09834902968476877
37,0.05533332054283324,True,integer optimal solution,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.0553
 0.     0.     0.     0.     0.     0.    ]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -0.  1.  0.  0.  0.  0.  0.  0.]",0.05552356822855746,0.05552356822855746,0.0,33,0,0,0.0,0.05533332054283324
39,0.05533332054283324,True,integer optimal solution,"[ 0.      0.      0.      0.     -0.      0.     -0.      0.     -0.
 -0.      0.     -0.     -0.     -0.      0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[ 0.  0.  0.  0.  0.  0. -0.  0. -0. -0.  0. -0. -0. -0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0. -0.  0.]",0.05554320149133054,0.05554320149133054,0.0,18,0,0,0.0,0.05533332054283324
42,0.006394611192584221,True,integer optimal solution,"[ 0.      0.      0.      0.      0.0064 -0.      0.      0.      0.
  0.      0.     -0.     -0.     -0.     -0.      0.      0.      0.
  0.     -0.      0.      0.      0.      0.     -0.      0.    ]","[   0.    0.    0.    0. -154.    0.    0.    0.    0.    0.    0.   -0.
   -0.   -0.   -0.    0.    0.    0.    0.   -0.    0.    0.    0.    0.
   -0.    0.]",0.006395870710977226,0.006395870710977226,0.0,28,0,0,0.0,0.006394611192584221
44,0.06779843285350218,True,integer optimal solution,"[ 0.      0.      0.      0.0672  0.0678 -0.      0.     -0.     -0.
 -0.      0.      0.063  -0.     -0.      0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.      0.      0.    ]","[ 0.000e+00  0.000e+00  0.000e+00 -1.100e+01 -1.473e+03 -0.000e+00
  0.000e+00  0.000e+00 -0.000e+00 -0.000e+00  0.000e+00  1.000e+00
 -0.000e+00 -0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  0.000e+00]",0.06801413598415004,0.06801413598415004,0.0,42,0,0,0.0,0.25330275890499676
49,0.03866665912946565,True,integer optimal solution,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.0387 0.
 0.     0.     0.     0.     0.     0.    ]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  0.  0.  0.  0.  0.]",0.038738220951795965,0.038738220951795965,0.0,34,0,0,0.0,0.03866665912946565
50,0.1420277233277866,True,integer optimal solution,"[ 0.      0.      0.      0.1399  0.066  -0.      0.142   0.     -0.
 -0.      0.      0.063  -0.      0.1057 -0.      0.      0.      0.1327
  0.      0.0553  0.      0.      0.     -0.     -0.      0.    ]","[   0.    0.    0.   -4. -285.   -0.    1.    0.   -0.   -0.    0.    1.
   -0.    1.   -0.    0.    0.   -1.    0.    1.    0.    0.    0.    0.
   -0.    0.]",0.14228642456402218,0.14228642456402218,0.0,50,0,0,0.0,0.7046639567187083
54,0.10566663382503795,True,integer optimal solution,"[ 0.      0.      0.      0.092   0.077  -0.      0.     -0.     -0.
  0.      0.      0.063  -0.      0.1057 -0.      0.      0.     -0.
  0.      0.0553  0.      0.      0.      0.      0.      0.    ]","[   0.    0.    0.   -8. -315.   -0.    0.    0.   -0.    0.    0.    1.
   -0.    1.   -0.    0.    0.    0.    0.    1.    0.    0.    0.    0.
    0.    0.]",0.106508255428981,0.106508255428981,0.0,41,0,0,0.0,0.3930328241898018
57,0.055333320542832354,True,integer optimal solution,"[ 0.      0.      0.      0.      0.0514 -0.     -0.     -0.     -0.
 -0.      0.     -0.     -0.     -0.      0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[ 0.000e+00  0.000e+00  0.000e+00  0.000e+00 -2.412e+03  0.000e+00
 -0.000e+00  0.000e+00 -0.000e+00 -0.000e+00  0.000e+00 -0.000e+00
 -0.000e+00 -0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 -0.000e+00  0.000e+00]",0.05535550021145735,0.05535550021145735,0.0,48,0,0,0.015625,0.10674375621051457
58,0.05533332054283324,True,integer optimal solution,"[ 0.      0.      0.      0.      0.      0.      0.      0.     -0.
 -0.      0.      0.     -0.     -0.      0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.      0.      0.    ]","[ 0.  0.  0.  0.  0.  0. -0.  0. -0. -0.  0.  0. -0. -0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  0.  0.]",0.055599942862899134,0.055599942862899134,0.0,29,0,0,0.0,0.05533332054283324
59,0.1056666338250376,True,integer optimal solution,"[ 0.      0.      0.      0.092   0.0249  0.      0.     -0.     -0.
  0.      0.      0.063  -0.      0.1057  0.      0.      0.      0.
  0.0387  0.0553  0.      0.      0.     -0.     -0.      0.    ]","[   0.    0.    0.   -8. -593.    0.    0.    0.   -0.    0.    0.    1.
   -0.    1.    0.    0.    0.    0.   -1.    1.    0.    0.    0.    0.
   -0.    0.]",0.10582161473046081,0.10582161473046081,0.0,48,0,0,0.015625,0.37954706556010787
60,0.06299998452436417,True,integer optimal solution,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.063  0.     0.     0.     0.     0.     0.     0.     0.0553
 0.     0.     0.     0.     0.     0.    ]","[ 0.  0.  0.  0.  0. -0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0. -0.
  0.  1.  0.  0.  0.  0.  0.  0.]",0.06345688536299746,0.06345688536299747,0.0,28,0,0,0.0,0.11833330506719741
62,0.055333320542832354,True,integer optimal solution,"[ 0.      0.      0.      0.      0.      0.      0.      0.     -0.
  0.      0.     -0.     -0.     -0.      0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.      0.      0.    ]","[ 0.  0.  0.  0.  0.  0.  0.  0. -0.  0.  0. -0. -0. -0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  0.  0.]",0.055528834439659516,0.055528834439659516,0.0,28,0,0,0.015625,0.05533332054283324
63,0.06299998452436384,True,integer optimal solution,"[ 0.      0.      0.      0.0563  0.0606 -0.     -0.      0.     -0.
  0.      0.      0.063  -0.     -0.      0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[ 0.000e+00  0.000e+00  0.000e+00 -1.000e+01 -6.439e+03  0.000e+00
 -0.000e+00  0.000e+00 -0.000e+00  0.000e+00  0.000e+00  1.000e+00
 -0.000e+00 -0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 -0.000e+00  0.000e+00]",0.06300921218614017,0.06300921218614017,0.0,53,0,0,0.0,0.23529141726399638
64,0.06299998452436417,True,integer optimal solution,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.063  0.     0.     0.     0.     0.     0.     0.     0.0553
 0.     0.     0.     0.     0.     0.    ]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0. -0.  0.  0.]",0.06315261287158744,0.06315261287158744,0.0,37,0,0,0.0,0.11833330506719741
65,0.018784916238576366,True,integer optimal solution,"[ 0.      0.      0.      0.      0.      0.      0.      0.0188  0.
  0.      0.     -0.     -0.     -0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.    ]","[ 0.  0.  0.  0.  0.  0.  0. -2.  0.  0.  0. -0. -0. -0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.]",0.018813837838558334,0.018813837838558334,0.0,27,0,0,0.0,0.018784916238576366
66,0.10566663382503759,True,integer optimal solution,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.1057 0.     0.     0.     0.     0.     0.0553
 0.     0.     0.     0.     0.     0.    ]","[ 0.  0.  0.  0.  0. -0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0. -0.
  0.  1.  0.  0.  0. -0.  0.  0.]",0.1067624531646214,0.1067624531646214,0.0,30,0,0,0.015625,0.16099995436787085
68,0.06299998452436384,True,integer optimal solution,"[ 0.      0.      0.      0.0147  0.      0.      0.      0.     -0.
  0.      0.      0.063  -0.     -0.      0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[ 0.  0.  0. -1.  0.  0.  0.  0. -0.  0.  0.  1. -0. -0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0. -0.  0.]",0.06341258006809349,0.06341258006809349,0.0,33,0,0,0.0,0.13301232184847622
69,0.1056666338250376,True,integer optimal solution,"[ 0.      0.      0.      0.0609  0.      0.      0.      0.     -0.
 -0.      0.     -0.     -0.      0.1057  0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[ 0.  0.  0. -5.  0.  0.  0.  0. -0. -0.  0. -0. -0.  1.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0. -0.  0.]",0.10625369831785535,0.10625369831785535,0.0,39,0,0,0.015625,0.22194266588537181
70,0.1056666338250376,True,integer optimal solution,"[ 0.      0.      0.      0.0804  0.0155  0.      0.      0.     -0.
 -0.      0.      0.063  -0.      0.1057  0.      0.      0.     -0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[   0.    0.    0.   -7. -565.    0.   -0.    0.   -0.   -0.    0.    1.
   -0.    1.    0.    0.    0.    0.    0.    1.    0.    0.    0.    0.
   -0.    0.]",0.10569082133810208,0.10569082133810208,0.0,50,0,0,0.0,0.31988461893611564
73,0.10566663382503758,True,integer optimal solution,"[ 0.      0.      0.      0.      0.0018 -0.      0.     -0.     -0.
 -0.      0.      0.063  -0.      0.1057  0.      0.      0.     -0.
  0.      0.0553  0.      0.      0.      0.      0.      0.    ]","[  0.   0.   0.   0. -42.   0.  -0.   0.  -0.  -0.   0.   1.  -0.   1.
   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.]",0.1057604108551242,0.1057604108551242,0.0,50,0,0,0.015625,0.22576570876673616
76,0.1056666338250376,True,integer optimal solution,"[ 0.      0.      0.      0.0207  0.      0.     -0.      0.     -0.
 -0.      0.     -0.     -0.      0.1057  0.      0.      0.      0.
  0.      0.0553  0.      0.      0.     -0.     -0.      0.    ]","[ 0.  0.  0. -4.  0.  0. -0.  0. -0. -0.  0. -0. -0.  1.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0. -0.  0.]",0.10580342243774331,0.10580342243774331,0.0,48,0,0,0.0,0.181692687631125
78,0.07021742123079022,True,integer optimal solution,"[ 0.      0.      0.      0.0702  0.059  -0.      0.      0.      0.
 -0.      0.      0.063  -0.     -0.      0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[ 0.000e+00  0.000e+00  0.000e+00 -1.500e+01 -2.558e+03  0.000e+00
 -0.000e+00  0.000e+00  0.000e+00 -0.000e+00  0.000e+00  1.000e+00
 -0.000e+00 -0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 -0.000e+00  0.000e+00]",0.07026787390259064,0.07026787390259064,0.0,41,0,0,0.015625,0.2475849464185811
79,0.10566663382503805,True,integer optimal solution,"[ 0.      0.      0.      0.0217  0.0145 -0.     -0.      0.     -0.
 -0.      0.      0.063  -0.      0.1057  0.      0.      0.      0.
  0.      0.0553  0.      0.      0.     -0.     -0.      0.    ]","[   0.    0.    0.   -2. -128.    0.   -0.    0.   -0.   -0.    0.    1.
   -0.    1.    0.    0.    0.    0.    0.    1.    0.    0.    0.    0.
   -0.    0.]",0.10629825954338178,0.10629825954338178,0.0,7,0,0,0.0,0.26020574367582827
80,0.05533332054283324,True,integer optimal solution,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.0553
 0.     0.     0.     0.     0.     0.    ]","[ 0.  0.  0.  0.  0.  0.  0. -0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0. -0.  0.  0.]",0.05535187694566708,0.05535187694566708,0.0,38,0,0,0.0,0.05533332054283324
82,0.06299998452436428,True,integer optimal solution,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.063  0.     0.     0.     0.     0.     0.     0.     0.0553
 0.     0.     0.     0.     0.     0.    ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0.]",0.06408435301894207,0.06408435301894208,0.0,28,0,0,0.0,0.11833330506719741
86,0.06299998452436419,True,integer optimal solution,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.063  0.     0.     0.     0.     0.     0.     0.     0.0553
 0.     0.     0.     0.     0.     0.    ]","[ 0.  0.  0.  0.  0.  0.  0. -0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0. -0.  0.  0.]",0.06359731804390098,0.06359731804390098,0.0,41,0,0,0.015625,0.11833330506719741
87,0.05533332054283325,True,integer optimal solution,"[0.     0.     0.     0.     0.0066 0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.0553
 0.     0.     0.     0.     0.     0.    ]","[ 0.000e+00  0.000e+00  0.000e+00  0.000e+00 -1.042e+03  0.000e+00
  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  0.000e+00]",0.0553444881195155,0.0553444881195155,0.0,33,0,0,0.0,0.061944193693550864
93,0.05533332054283324,True,integer optimal solution,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.0387 0.0553
 0.     0.     0.     0.     0.     0.    ]","[ 0.  0.  0.  0.  0.  0.  0. -0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 -1.  1.  0.  0.  0.  0.  0.  0.]",0.055502917914354105,0.055502917914354105,0.0,37,0,0,0.0,0.0939999796722989
95,0.10566663382503762,True,integer optimal solution,"[ 0.      0.      0.      0.0781  0.0228  0.      0.      0.     -0.
  0.      0.      0.063  -0.      0.1057  0.      0.      0.      0.
  0.      0.0553  0.      0.      0.     -0.     -0.      0.    ]","[ 0.000e+00  0.000e+00  0.000e+00 -1.600e+01 -5.479e+03  0.000e+00
  0.000e+00  0.000e+00 -0.000e+00  0.000e+00  0.000e+00  1.000e+00
 -0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 -0.000e+00  0.000e+00]",0.10568006490150238,0.10568006490150238,0.0,53,0,0,0.0,0.3248396705059372
99,0.10566663382503805,True,integer optimal solution,"[ 0.      0.      0.      0.      0.08   -0.      0.     -0.      0.
  0.      0.      0.063  -0.      0.1057 -0.      0.      0.     -0.
  0.      0.0553  0.      0.      0.      0.      0.      0.    ]","[ 0.000e+00  0.000e+00  0.000e+00  0.000e+00 -1.973e+03 -0.000e+00
  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.000e+00
 -0.000e+00  1.000e+00 -0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  0.000e+00]",0.10578179615391904,0.10578179615391904,0.0,49,0,0,0.0,0.3040065116368127
100,0.05533332054283324,True,integer optimal solution,"[ 0.      0.      0.      0.      0.      0.      0.      0.     -0.
 -0.      0.     -0.      0.     -0.      0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.      0.      0.    ]","[ 0.  0.  0.  0.  0.  0.  0.  0. -0. -0.  0. -0.  0. -0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  0.  0.]",0.055808587137474955,0.055808587137474955,0.0,25,0,0,0.0,0.05533332054283324
101,0.1056666338250376,True,integer optimal solution,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.063  0.     0.1057 0.     0.     0.     0.     0.     0.0553
 0.     0.     0.     0.     0.     0.    ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0.]",0.10633869286297681,0.10633869286297681,0.0,34,0,0,0.0,0.22399993889223502
102,0.05533332054283324,True,integer optimal solution,"[ 0.      0.      0.      0.      0.      0.      0.      0.     -0.
 -0.      0.     -0.     -0.     -0.     -0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[ 0.  0.  0.  0.  0.  0. -0.  0. -0. -0.  0. -0. -0. -0. -0.  0.  0.  0.
  0.  1.  0.  0.  0.  0. -0.  0.]",0.055692074837810406,0.055692074837810406,0.0,29,0,0,0.0,0.05533332054283324
